Month,Product_ID,Product_Name,Total_Units_Sold,Total_Revenue
2023-01,101,Smartphone,250,125000
2023-01,102,Laptop,110,110000
2023-01,103,Headphones,320,32000
2023-02,101,Smartphone,270,135000
2023-02,102,Laptop,105,105000
2023-02,103,Headphones,310,31000
2023-03,101,Smartphone,280,140000
2023-03,102,Laptop,120,120000
2023-03,103,Headphones,330,33000
2023-04,101,Smartphone,290,145000
2023-04,102,Laptop,115,115000
2023-04,103,Headphones,320,32000
2023-05,101,Smartphone,275,137500
2023-05,102,Laptop,125,125000
2023-05,103,Headphones,310,31000
2023-06,101,Smartphone,260,130000
2023-06,102,Laptop,110,110000
2023-06,103,Headphones,325,32500
2023-07,101,Smartphone,265,132500
2023-07,102,Laptop,120,120000
2023-07,103,Headphones,335,33500
2023-08,101,Smartphone,255,127500
2023-08,102,Laptop,115,115000
2023-08,103,Headphones,330,33000
2023-09,101,Smartphone,245,122500
2023-09,102,Laptop,130,130000
2023-09,103,Headphones,340,34000
2023-10,101,Smartphone,250,125000
2023-10,102,Laptop,125,125000
2023-10,103,Headphones,345,34500
2023-11,101,Smartphone,240,120000
2023-11,102,Laptop,130,130000
2023-11,103,Headphones,330,33000
2023-12,101,Smartphone,235,117500
2023-12,102,Laptop,135,135000
2023-12,103,Headphones,340,34000
2024-01,101,Smartphone,230,115000
2024-01,102,Laptop,140,140000
2024-01,103,Headphones,325,32500
2024-02,101,Smartphone,235,117500
2024-02,102,Laptop,145,145000
2024-02,103,Headphones,315,31500
2024-03,101,Smartphone,240,120000
2024-03,102,Laptop,150,150000
2024-03,103,Headphones,320,32000
2024-04,101,Smartphone,250,125000
2024-04,102,Laptop,155,155000
2024-04,103,Headphones,315,31500
2024-05,101,Smartphone,260,130000
2024-05,102,Laptop,160,160000
2024-05,103,Headphones,310,31000

